Time,Type,Instrument,Product,Qty.,Avg. price,Status
2022-12-01 14:13:25,SELL,BANKNIFTY22D0142700PE,MIS,875/875,2.35,COMPLETE
2022-12-01 14:13:24,SELL,NIFTY22D0119000CE,MIS,1000/1000,1.15,COMPLETE
2022-12-01 14:13:24,SELL,NIFTY22D0118650PE,MIS,1000/1000,1,COMPLETE
2022-12-01 14:13:22,SELL,BANKNIFTY22D0143800CE,MIS,875/875,3.8,COMPLETE
2022-12-01 14:13:06,BUY,NIFTY22D0118850CE,MIS,500/500,17.9,COMPLETE
2022-12-01 14:13:06,BUY,NIFTY22D0118850CE,MIS,0/500,45.9,CANCELLED
2022-12-01 14:13:04,BUY,BANKNIFTY22D0143600CE,MIS,125/125,7.44,COMPLETE
2022-12-01 14:13:04,BUY,BANKNIFTY22D0143600PE,MIS,125/125,286.4,COMPLETE
2022-12-01 14:13:04,BUY,BANKNIFTY22D0143600CE,MIS,0/125,38.5,CANCELLED
2022-12-01 14:13:02,BUY,BANKNIFTY22D0143600CE,MIS,125/125,7.45,COMPLETE
2022-12-01 14:13:02,BUY,BANKNIFTY22D0143600PE,MIS,0/125,513.35,CANCELLED
2022-12-01 14:13:01,BUY,BANKNIFTY22D0143600CE,MIS,0/125,56,CANCELLED
2022-12-01 14:12:58,BUY,BANKNIFTY22D0143600CE,MIS,300/300,7.5,COMPLETE
2022-12-01 14:12:58,BUY,BANKNIFTY22D0143600CE,MIS,0/300,35.6,CANCELLED
2022-12-01 14:12:56,BUY,BANKNIFTY22D0143500CE,MIS,300/300,14.15,COMPLETE
2022-12-01 14:12:55,BUY,BANKNIFTY22D0143500CE,MIS,0/300,53.2,CANCELLED
2022-12-01 13:30:25,SELL,BANKNIFTY22D0142900PE,MIS,875/875,15.35,COMPLETE
2022-12-01 13:30:18,BUY,BANKNIFTY22D0142700PE,MIS,875/875,9.32,COMPLETE
2022-12-01 13:30:13,BUY,BANKNIFTY22D0143600PE,MIS,125/125,418.74,COMPLETE
2022-12-01 13:30:13,BUY,BANKNIFTY22D0143600PE,MIS,0/125,568.5,CANCELLED
2022-12-01 13:30:06,BUY,BANKNIFTY22D0143600PE,MIS,300/300,393.46,COMPLETE
2022-12-01 13:29:20,BUY,BANKNIFTY22D0143600PE,MIS,0/125,468.75,CANCELLED
2022-12-01 13:25:02,BUY,BANKNIFTY22D0143600PE,MIS,0/300,330.55,CANCELLED
2022-12-01 13:24:21,BUY,NIFTY22D0118850PE,MIS,500/500,38,COMPLETE
2022-12-01 13:24:13,BUY,BANKNIFTY22D0143500PE,MIS,300/300,141.3,COMPLETE
2022-12-01 12:21:20,SELL,BANKNIFTY22D0143500PE,MIS,300/300,116.15,COMPLETE
2022-12-01 12:21:07,BUY,NIFTY22D0118850CE,MIS,500/500,32.35,COMPLETE
2022-12-01 11:45:19,BUY,BANKNIFTY22D0143500PE,MIS,300/300,159.45,COMPLETE
2022-12-01 11:10:48,SELL,BANKNIFTY22D0143600CE,MIS,125/125,14.25,COMPLETE
2022-12-01 10:53:09,SELL,BANKNIFTY22D0143500PE,MIS,300/300,115.4,COMPLETE
2022-12-01 10:29:29,SELL,NIFTY22D0118850CE,MIS,500/500,24.45,COMPLETE
2022-12-01 10:29:25,SELL,NIFTY22D0118850PE,MIS,500/500,38,COMPLETE
2022-12-01 10:20:44,SELL,BANKNIFTY22D0143600PE,MIS,125/125,245.55,COMPLETE
2022-12-01 10:03:45,BUY,BANKNIFTY22D0143500PE,MIS,300/300,162.66,COMPLETE
2022-12-01 09:49:24,SELL,BANKNIFTY22D0143600PE,MIS,300/300,210.09,COMPLETE
2022-12-01 09:49:19,BUY,NIFTY22D0118850PE,MIS,500/500,37,COMPLETE
2022-12-01 09:49:18,BUY,BANKNIFTY22D0143600PE,MIS,300/300,224.95,COMPLETE
2022-12-01 09:49:17,BUY,BANKNIFTY22D0143500PE,MIS,0/300,192.85,CANCELLED
2022-12-01 09:46:09,SELL,BANKNIFTY22D0143600CE,MIS,125/125,29.35,COMPLETE
2022-12-01 09:41:02,SELL,BANKNIFTY22D0143500PE,MIS,300/300,109.15,COMPLETE
2022-12-01 09:40:41,SELL,BANKNIFTY22D0143500CE,MIS,300/300,64.05,COMPLETE
2022-12-01 09:39:26,SELL,BANKNIFTY22D0143600PE,MIS,125/125,178.6,COMPLETE
2022-12-01 09:38:53,SELL,BANKNIFTY22D0143600CE,MIS,300/300,31.2,COMPLETE
2022-12-01 09:30:19,SELL,BANKNIFTY22D0143600PE,MIS,300/300,179.45,COMPLETE
2022-12-01 09:29:51,SELL,NIFTY22D0118850CE,MIS,500/500,36.85,COMPLETE
2022-12-01 09:29:47,SELL,NIFTY22D0118850PE,MIS,500/500,31.2,COMPLETE
2022-12-01 09:29:39,BUY,NIFTY22D0118650PE,MIS,1000/1000,3.05,COMPLETE
2022-12-01 09:29:35,BUY,NIFTY22D0119000CE,MIS,1000/1000,3.25,COMPLETE
2022-12-01 09:17:01,BUY,BANKNIFTY22D0143800CE,MIS,875/875,10.78,COMPLETE
2022-12-01 09:17:01,BUY,BANKNIFTY22D0142900PE,MIS,875/875,9.25,COMPLETE
