Time,Type,Instrument,Product,Qty.,Avg. price,Status
2022-12-01 14:13:28,SELL,BANKNIFTY22D0142900PE,MIS,250/250,3.4,COMPLETE
2022-12-01 14:13:28,SELL,BANKNIFTY22D0142900PE,MIS,900/900,3.4,COMPLETE
2022-12-01 14:13:27,SELL,BANKNIFTY22D0143700CE,MIS,250/250,4.9,COMPLETE
2022-12-01 14:13:26,SELL,NIFTY22D0119000CE,MIS,1200/1200,1.15,COMPLETE
2022-12-01 14:13:26,SELL,NIFTY22D0118650PE,MIS,1200/1200,1,COMPLETE
2022-12-01 14:13:23,SELL,BANKNIFTY22D0143700CE,MIS,900/900,4.85,COMPLETE
2022-12-01 14:13:05,BUY,BANKNIFTY22D0143200CE,MIS,150/150,135.65,COMPLETE
2022-12-01 14:13:05,BUY,BANKNIFTY22D0143200PE,MIS,150/150,15.4,COMPLETE
2022-12-01 14:13:02,BUY,BANKNIFTY22D0143600CE,MIS,125/125,7.45,COMPLETE
2022-12-01 14:13:01,BUY,BANKNIFTY22D0143600CE,MIS,0/125,49.9,CANCELLED
2022-12-01 14:12:59,BUY,BANKNIFTY22D0143700CE,MIS,125/125,4.8,COMPLETE
2022-12-01 14:12:59,BUY,BANKNIFTY22D0143700CE,MIS,300/300,4.8,COMPLETE
2022-12-01 14:12:59,BUY,NIFTY22D0118850CE,MIS,600/600,17.65,COMPLETE
2022-12-01 14:12:59,BUY,BANKNIFTY22D0143700CE,MIS,0/125,45.3,CANCELLED
2022-12-01 14:12:58,BUY,BANKNIFTY22D0143700CE,MIS,0/300,30.65,CANCELLED
2022-12-01 14:12:56,BUY,NIFTY22D0118850CE,MIS,0/600,43.75,CANCELLED
2022-12-01 13:55:30,BUY,BANKNIFTY22D0143700PE,MIS,125/125,559.68,COMPLETE
2022-12-01 13:54:39,BUY,BANKNIFTY22D0143600PE,MIS,125/125,447.8,COMPLETE
2022-12-01 13:30:42,SELL,BANKNIFTY22D0143200PE,MIS,150/150,79.37,COMPLETE
2022-12-01 13:30:40,SELL,BANKNIFTY22D0143200CE,MIS,150/150,102.02,COMPLETE
